,name,gender_add,year,category,publication
296,David Barstow,male,2004,Public-Service,The New York Times
297,David C. Turnley,male,1990,Feature-Photography,Detroit Free Press
298,David Cay Johnston,male,2001,Beat-Reporting,The New York Times
299,David Dietz,male,1937,Reporting,Scripps-Howard
300,David Finkel,male,2006,Explanatory-Reporting,The Washington Post
301,David Halberstam,male,1964,International-Reporting,Associated Press
302,David Hanners,male,1989,Explanatory-Journalism,The Dallas Morning News
303,David Hasemyer,male,2013,National-Reporting,InsideClimate News
304,David Horsey,male,1999,Editorial-Cartooning,The Seattle Post-Intelligencer
305,David Kocieniewski,male,2012,Explanatory-Reporting,The New York Times
306,David Leeson,male,2004,Breaking-News-Photography,The Dallas Morning News
307,David Leonhardt,male,2011,Commentary,The New York Times
308,David Maraniss,male,1993,National-Reporting,The Washington Post
309,David Moats,male,2001,Editorial-Writing,Rutland (VT) Herald
310,David Peterson,male,1987,Feature-Photography,Des Moines Register
311,David Philipps,male,2014,National-Reporting,The Gazette
312,David Rohde,male,1996,International-Reporting,The Christian Science Monitor
313,David S. Broder,male,1973,Commentary,The Washington Post
314,David Shaw,male,1991,Criticism,Los Angeles Times
315,David Shribman,male,1995,Beat-Reporting,The Boston Globe
316,David Umhoefer,male,2008,Local-Reporting,Milwaukee Journal Sentinel
317,David Wessel,male,1984,Local-Investigative-Specialized-Reporting,The Boston Globe
318,David Willman,male,2001,Investigative-Reporting,Los Angeles Times
319,David Wood,male,2012,National-Reporting,The Huffington Post
320,David Zucchino,male,1989,Feature-Writing,The Philadelphia Inquirer
321,Dean Baquet,male,1988,Investigative-Reporting,Chicago Tribune
322,Dennis Bell,male,1985,International-Reporting,Newsday
323,Denny Walsh,male,1969,Local-Investigative-Specialized-Reporting,St. Louis Globe-Democrat
324,Dewey L. Fleming,male,1944,Telegraphic-Reporting-(National),The Baltimore Sun
325,Don Bartletti,male,2003,Feature-Photography,Los Angeles Times
326,Don Murray,male,1954,Editorial-Writing,Boston Herald
327,Don Ultang,male,1952,Photography,Des Moines Register
328,Don Whitehead,male,1953,National-Reporting,Associated Press
329,Don Wright,male,1966,Editorial-Cartooning,The Miami News
330,Donal Henahan,male,1986,Criticism,The New York Times
331,Donald L. Barlett,male,1975,National-Reporting,The Philadelphia Inquirer
332,Doug Bates,male,2006,Editorial-Writing,The Oregonian
333,Doug Marlette,male,1988,Editorial-Cartooning,The Atlanta Constitution
334,Earle L. Bunker,male,1944,Photography,The World-Herald
335,Eddy Gilmore,male,1947,Telegraphic-Reporting-(International),Associated Press
336,Edgar Ansel Mowrer,male,1933,Correspondence,Chicago Daily News
337,Edgar May,male,1961,Local-Reporting;-No-Edition-Time,Buffalo (NY) Evening News
338,Edmund Duffy,male,1931,Editorial-Cartooning,The Baltimore Sun
339,Edmund S. Valtman,male,1962,Editorial-Cartooning,The Hartford Times
340,Edmund Stevens,male,1950,International-Reporting,The Christian Science Monitor
341,Edward A. Harris,male,1946,Telegraphic-Reporting-(National),St. Louis Post-Dispatch
342,Edward D. Kuekes,male,1953,Editorial-Cartooning,Cleveland Plain Dealer
343,Edward Humes,male,1989,Specialized-Reporting,The Orange County Register
344,Edward J. Mowery,male,1953,Local-Reporting;-No-Edition-Time,New York World-Telegram
345,Edward M. Kingsbury,male,1926,Editorial-Writing,The New York Times
346,Edward R. Cony,male,1961,National-Reporting,The Wall Street Journal
347,Edward S. Montgomery,male,1951,Local-Reporting,San Francisco Examiner
348,Edward T. Adams,male,1969,Spot-News-Photography,Associated Press
349,Edward T. Folliard,male,1947,Telegraphic-Reporting-(National),The Washington Post
350,Edwin A. Roberts Jr.,male,1974,Commentary,National Observer
351,Edwin M. Yoder Jr.,male,1979,Editorial-Writing,The Washington Star
352,Edwin O. Guthman,male,1950,National-Reporting,The Seattle Times
